id_composicao,id,coeficiente
87286,88377,5.16
87286,1379,263.74
87286,1106,117.22
87286,370,1.17
87287,89226,2.41
87287,89225,0.73
87287,88377,3.14
87287,88316,0.76
87287,1379,266.85
87287,1106,118.6
87287,370,1.19
87331,88392,4.75
87331,88386,1.45
87331,88377,6.2
87331,1379,258.04
87331,1106,114.68
87331,370,1.15
87332,88398,2.15
87332,88393,0.66
87332,88377,2.81
87332,88316,0.63
87332,1379,261.13
87332,1106,116.06
87332,370,1.16
87369,88316,11.1
87369,1379,192.52
87369,1106,171.13
87369,370,1.14
100451,102953,4.98
100451,102952,1.52
100451,88377,6.5
100451,1379,192.38
100451,1106,171
100451,370,1.14
87292,88831,3.45
87292,88830,1.05
87292,88377,4.5
87292,1379,195.86
87292,1106,174.1
87292,370,1.16
87335,88392,3.8
87335,88386,1.16
87335,88377,4.96
87335,1379,206.42
87335,1106,137.61
87335,370,1.15
87336,88398,2.24
87336,88393,0.68
87336,88377,2.92
87336,88316,0.62
87336,1379,191.45
87336,1106,170.18
87336,370,1.13
87370,88316,11.17
87370,1379,175.34
87370,1106,155.86
87370,370,1.17
100452,102953,4.9
100452,102952,1.49
100452,88377,6.39
100452,1379,175.86
100452,1106,156.32
100452,370,1.17
88715,88831,3.27
88715,88830,0.99
88715,88377,4.26
88715,1379,178.82
88715,1106,158.95
88715,370,1.19
87294,89226,2.8
87294,89225,0.85
87294,88377,3.65
87294,88316,0.79
87294,1379,177.12
87294,1106,157.44
87294,370,1.18
87337,88392,3.74
87337,88386,1.14
87337,88377,4.88
87337,1379,173.77
87337,1106,154.46
87337,370,1.16
100487,88398,2.14
100487,88393,0.65
100487,88377,2.79
100487,88316,0.62
100487,1379,174.73
100487,1106,155.32
100487,370,1.16
87380,88316,10.87
87380,7334,189.71
87380,1379,327.72
87380,367,0.73
100461,102953,3.98
100461,102952,1.21
100461,88377,5.19
100461,7334,189.03
100461,1379,326.54
100461,367,0.73
87322,88831,3.5
87322,88830,1.06
87322,88377,4.56
87322,7334,191.68
87322,1379,331.12
87322,367,0.74
87323,89226,2.26
87323,89225,0.69
87323,88377,2.95
87323,88316,0.68
87323,7334,192.53
87323,1379,332.59
87323,367,0.74
87360,88404,5.28
87360,88399,1.61
87360,88377,6.89
87360,7334,186.22
87360,1379,321.69
87360,367,0.71
87361,88392,3.16
87361,88386,0.96
87361,88377,4.12
87361,7334,187.31
87361,1379,323.57
87361,367,0.72
87362,88398,1.92
87362,88393,0.58
87362,88377,2.5
87362,88316,0.53
87362,7334,188.71
87362,1379,326
87362,367,0.72
87377,88316,11.02
87377,1379,422.63
87377,367,0.94
100458,102953,3.99
100458,102952,1.22
100458,88377,5.21
100458,1379,424.23
100458,367,0.94
87313,88831,3.31
87313,88830,1.01
87313,88377,4.32
87313,1379,426.49
87313,367,0.95
87314,89226,2.32
87314,89225,0.71
87314,88377,3.03
87314,88316,0.68
87314,1379,427.78
87314,367,0.95
87352,88404,6.23
87352,88399,1.9
87352,88377,8.13
87352,1379,413.8
87352,367,0.92
87353,88392,3.65
87353,88386,1.11
87353,88377,4.76
87353,1379,415.71
87353,367,0.92
87354,88398,1.98
87354,88393,0.6
87354,88377,2.58
87354,88316,0.55
87354,1379,420.41
87354,367,0.93
100480,88316,8.9
100480,1379,484.67
100480,370,1.08
100480,123,19.39
100476,102953,3.58
100476,102952,1.09
100476,88377,4.67
100476,1379,479.44
100476,370,1.07
100476,123,19.18
100475,88831,2.88
100475,88830,0.87
100475,88377,3.75
100475,1379,486
100475,370,1.08
100475,123,19.44
100491,89226,2.06
100491,89225,0.62
100491,88377,2.68
100491,88316,0.88
100491,1379,486
100491,370,1.08
100491,123,19.44
100477,88404,5.46
100477,88399,1.66
100477,88377,7.12
100477,1379,469.85
100477,370,1.04
100477,123,18.79
100478,88392,2.75
100478,88386,0.83
100478,88377,3.58
100478,1379,474.87
100478,370,1.06
100478,123,18.99
100479,88398,1.64
100479,88393,0.5
100479,88377,2.14
100479,88316,0.66
100479,1379,477.81
100479,370,1.06
100479,123,19.11
87372,88316,11.65
87372,1379,563.59
87372,370,1.25
100453,102953,4.94
100453,102952,1.51
100453,88377,6.45
100453,1379,563.64
100453,370,1.25
87298,88831,3.39
87298,88830,1.03
87298,88377,4.42
87298,1379,573.61
87298,370,1.27
87299,89226,2.53
87299,89225,0.77
87299,88377,3.3
87299,88316,0.79
87299,1379,273.44
87299,370,1.27
87339,88404,7.94
87339,88399,2.41
87339,88377,10.35
87339,1379,551.12
87339,370,1.22
87340,88392,3.66
87340,88386,1.12
87340,88377,4.78
87340,1379,556.69
87340,370,1.24
87341,88398,2.14
87341,88393,0.65
87341,88377,2.79
87341,88316,0.58
87341,1379,559.97
87341,370,1.24
88629,88316,8.57
88629,1379,482.96
88629,370,1.07
100467,102953,3.34
100467,102952,1.01
100467,88377,4.35
100467,1379,478.07
100467,370,1.06
88628,88831,2.62
88628,88830,0.8
88628,88377,3.42
88628,1379,483.7
88628,370,1.07
100489,89226,1.87
100489,89225,0.57
100489,88377,2.44
100489,88316,0.75
100489,1379,483.72
100489,370,1.07
100468,88404,52.1
100468,88399,1.58
100468,88377,6.79
100468,1379,469.39
100468,370,1.04
100469,88392,2.49
100469,88386,0.76
100469,88377,3.25
100469,1379,473.5
100469,370,1.05
100470,88398,2.49
100470,88393,0.76
100470,88377,3.25
100470,1379,389.03
100470,370,1.15
87371,88316,10.88
87371,1379,133.44
87371,1106,177.92
87371,370,1.19
87295,88831,4.24
87295,88830,1.29
87295,88377,5.53
87295,1379,134.77
87295,1106,179.69
87295,370,1.2
87296,89226,2.43
87296,89225,0.74
87296,88377,3.17
87296,88316,0.76
87296,1379,135.89
87296,1106,181.19
87296,370,1.21
87338,88398,2.8
87338,88393,0.85
87338,88377,3.65
87338,88316,0.7
87338,1379,132.15
87338,1106,176.2
87338,370,1.17
88630,88831,2.58
88630,88830,0.78
88630,88377,3.36
88630,1379,355.04
88630,370,1.23
87381,88316,10.51
87381,7334,189.07
87381,1379,263.97
87381,367,0.78
100462,102953,5.7
100462,102952,1.73
100462,88377,7.43
100462,7334,187.46
100462,1379,261.71
100462,367,0.78
87325,88831,3.6
87325,88830,1.09
87325,88377,4.69
87325,7334,189.4
87325,1379,264.42
87325,367,0.78
87326,89226,2.15
87326,89225,0.65
87326,88377,2.8
87326,88316,0.62
87326,7334,191.21
87326,1379,266.95
87326,367,0.79
87363,88392,4.49
87363,88386,1.37
87363,88377,5.86
87363,7334,185.9
87363,1379,259.54
87363,367,0.77
87364,88398,2.02
87364,88393,0.61
87364,88377,2.63
87364,88316,0.55
87364,7334,187.91
87364,1379,262.35
87364,367,0.78
87378,88316,10.66
87378,1379,340.41
87378,367,1.01
100459,102953,4.13
100459,102952,1.26
100459,88377,5.39
100459,1379,339.18
100459,367,1
87316,88831,3.56
87316,88830,1.08
87316,88377,4.64
87316,1379,343.52
87316,367,1.02
87317,89226,2.32
87317,89225,0.7
87317,88377,3.02
87317,88316,0.69
87317,1379,345.16
87317,367,1.02
87355,88404,5.02
87355,88399,1.53
87355,88377,6.55
87355,1379,333.3
87355,367,0.99
87356,88392,3.2
87356,88386,0.98
87356,88377,4.18
87356,1379,335.82
87356,367,1
87357,88398,1.93
87357,88393,0.59
87357,88377,2.52
87357,88316,0.53
87357,1379,338.22
87357,367,1
100486,88316,8.55
100486,1379,394.75
100486,370,1.17
100486,123,15.79
100482,102953,3.73
100482,102952,1.13
100482,88377,4.86
100482,1379,384.49
100482,370,1.14
100482,123,15.38
100481,88831,2.69
100481,88830,0.82
100481,88377,3.51
100481,1379,390.51
100481,370,1.16
100481,123,15.62
100492,89226,1.91
100492,89225,0.58
100492,88377,2.49
100492,88316,0.81
100492,1379,391.73
100492,370,1.16
100492,123,15.66
100483,88404,4.61
100483,88399,1.4
100483,88377,6.01
100483,1379,379.34
100483,370,1.12
100483,123,15.17
100484,88392,2.91
100484,88386,0.89
100484,88377,3.8
100484,1379,381.55
100484,370,1.13
100484,123,15.26
100485,88398,1.62
100485,88393,0.5
100485,88377,2.12
100485,88316,0.67
100485,1379,385.74
100485,370,1.14
100485,123,15.43
87373,88316,11.02
87373,1379,454.58
87373,370,1.35
100454,102953,4.3
100454,102952,1.31
100454,88377,5.61
100454,1379,456.3
100454,370,1.35
87301,88831,3.72
87301,88830,1.13
87301,88377,4.85
87301,1379,459.85
87301,370,1.36
87302,89226,2.58
87302,89225,0.78
87302,88377,3.36
87302,88316,0.77
87302,1379,460.92
87302,370,1.37
87342,88404,6.4
87342,88399,1.95
87342,88377,8.35
87342,1379,444.52
87342,370,1.32
87343,88392,3.97
87343,88386,1.21
87343,88377,5.18
87343,1379,447.33
87343,370,1.33
87344,88398,2.12
87344,88393,0.65
87344,88377,2.77
87344,88316,0.59
87344,1379,452.19
87344,370,1.34
88631,88316,8.29
88631,1379,389.54
88631,370,1.15
100471,102953,3.53
100471,102952,1.07
100471,88377,4.6
100471,1379,383.76
100471,370,1.14
100490,89226,1.76
100490,89225,0.54
100490,88377,2.3
100490,88316,0.71
100490,1379,390.16
100490,370,1.16
100472,88404,4.4
100472,88399,1.34
100472,88377,5.74
100472,1379,378.97
100472,370,1.12
100473,88392,2.71
100473,88386,0.82
100473,88377,3.53
100473,1379,380.81
100473,370,1.13
100474,88398,1.48
100474,88393,0.45
100474,88377,1.93
100474,88316,0.57
100474,1379,384.42
100474,370,1.14
87379,88316,10.65
87379,7334,188.64
87379,1379,220.98
87379,367,0.82
100460,102953,5.22
100460,102952,1.59
100460,88377,6.81
100460,7334,187.73
100460,1379,219.91
100460,367,0.81
87319,88831,3.31
87319,88830,1.01
87319,88377,4.32
87319,7334,189.9
87319,1379,222.45
87319,367,0.82
87320,89226,2.38
87320,89225,0.72
87320,88377,3.08
87320,88316,0.67
87320,7334,190.61
87320,1379,223.28
87320,367,0.83
87358,88392,4.12
87358,88386,1.25
87358,88377,5.37
87358,7334,186.02
87358,1379,217.91
87358,367,0.81
87359,88398,2.32
87359,88393,0.7
87359,88377,3.02
87359,88316,0.58
87359,7334,186.82
87359,1379,218.84
87359,367,0.81
87376,88316,10.8
87376,1379,284.97
87376,367,1.06
100457,102953,3.75
100457,102952,1.14
100457,88377,4.89
100457,1379,285
100457,367,1.06
87310,88831,3.3
87310,88830,1
87310,88377,4.3
87310,1379,289.33
87310,367,1.07
87311,89226,2.31
87311,89225,0.71
87311,88377,3.02
87311,88316,0.67
87311,1379,288.19
87311,367,1.07
87350,88392,4.91
87350,88386,1.5
87350,88377,6.41
87350,1379,280.31
87350,367,1.04
87351,88398,2.1
87351,88393,0.61
87351,88377,2.74
87351,88316,0.55
87351,1379,282.8
87351,367,1.05
87374,88316,11.1
87374,1379,380.9
87374,370,1.41
100455,102953,4.62
100455,102952,1.41
100455,88377,6.03
100455,1379,379.53
100455,370,1.41
87304,88831,3.37
87304,88830,1.03
87304,88377,4.4
87304,1379,387.2
87304,370,1.43
87305,89226,2.66
87305,89225,0.81
87305,88377,3.47
87305,88316,0.81
87305,1379,386.89
87305,370,1.43
87345,88404,5.7
87345,88399,1.74
87345,88377,7.44
87345,1379,373.1
87345,370,1.38
87346,88392,3.67
87346,88386,1.12
87346,88377,4.79
87346,1379,376.08
87346,370,1.39
87347,88398,2.15
87347,88393,0.65
87347,88377,2.8
87347,88316,0.58
87347,1379,378.34
87347,370,1.4
87366,88316,11.14
87366,43617,0.062
87366,1379,280.88
87366,370,1.25
100448,102953,3.89
100448,102952,1.18
100448,88377,5.07
100448,43617,0.063
100448,1379,281.53
100448,370,1.25
87283,88831,1.01
87283,88830,3.332
87283,88377,4.33
87283,43617,0.063
87283,1379,281.53
87283,370,1.27
87284,89226,2.38
87284,89225,0.73
87284,88377,3.11
87284,88316,0.71
87284,43617,0.063
87284,1379,284.8
87284,370,1.27
87329,88392,4.85
87329,88386,1.47
87329,88377,6.32
87329,43617,0.061
87329,1379,276.29
87329,370,1.23
87330,88398,2.15
87330,88393,0.65
87330,88377,2.8
87330,88316,0.59
87330,43617,0.062
87330,1379,279.16
87330,370,1.24
87375,88316,11.31
87375,1379,327.78
87375,370,1.46
100456,102953,4.32
100456,102952,1.31
100456,88377,5.63
100456,1379,327.81
100456,370,1.46
